date,description,category,amount
2026-04-28,Cumparaturi Kaufland,FOOD,187.50
2026-04-29,Abonament STB,TRANSPORT,60.00
2026-04-29,Restaurant,FOOD,95.00
2026-04-30,Curent electric,UTILITIES,210.00
2026-04-30,Combustibil,TRANSPORT,350.00
2026-05-01,Netflix,ENTERTAINMENT,45.00
2026-05-01,Farmacie,HEALTH,78.00
2026-05-02,Piata agroalimentara,FOOD,120.00
2026-05-02,Bilet cinema,ENTERTAINMENT,55.00
2026-05-03,Internet + TV,UTILITIES,89.00
2026-05-04,Cumparaturi Mega,FOOD,143.75
2026-05-04,Taxi,TRANSPORT,38.00
2026-05-05,Medic specialist,HEALTH,200.00
2026-05-05,Cafenea,FOOD,42.00
2026-05-06,Paine si lactate,FOOD,35.50
